Scattering angle = 0
Wavelength	Ref Index (real)	Ref Index (imaginary)	Cext	Csca	Cabs
 400.2083 	 1.46825551288219 	 1.95304671889357 	 9.91422336788478E-16 	 4.29595963915807E-17 	 9.48462740396897E-16 
 411.3093 	 1.46127238824043 	 1.95723654373138 	 9.58881516345007E-16 	 3.86364319069979E-17 	 9.20245084438009E-16 
 424.7643 	 1.45336187878435 	 1.95136178532427 	 9.25453124667702E-16 	 3.39235872698972E-17 	 8.91529537397805E-16 
 438.6593 	 1.42212484395448 	 1.93446061160103 	 9.1247346618777E-16 	 3.01468229599616E-17 	 8.82326643227808E-16 
 453.0089 	 1.3728519386724 	 1.90736255237205 	 9.166122312302E-16 	 2.70713920229096E-17 	 8.89540839207291E-16 
 467.8279 	 1.3224323594719 	 1.86054436555274 	 9.30439125719247E-16 	 2.41477200359756E-17 	 9.06291405683271E-16 
 483.1317 	 1.18170421633297 	 1.84139725145206 	 1.01209287169374E-15 	 2.40272406911541E-17 	 9.8806563100259E-16 
 498.9361 	 0.990671818301176 	 1.86212705897592 	 1.13547268968937E-15 	 2.68026856577368E-17 	 1.10867000403163E-15 
 515.2575 	 0.716560118553942 	 2.02398360235274 	 1.13199141900237E-15 	 3.51054983929457E-17 	 1.09688592060943E-15 
 532.1129 	 0.543723679304829 	 2.23114394977219 	 7.87599083212177E-16 	 3.39909538474549E-17 	 7.53608129364722E-16 
 549.5196 	 0.426452529725453 	 2.4653382851559 	 4.48422772454937E-16 	 2.70577668481789E-17 	 4.21365005606758E-16 
 567.4957 	 0.351299135707446 	 2.68435671938302 	 2.63069393472378E-16 	 2.08043593069485E-17 	 2.4226503416543E-16 
 586.0598 	 0.281019014061239 	 2.90891518282506 	 1.5294309598209E-16 	 1.61321706811179E-17 	 1.36810925300972E-16 
 605.2313 	 0.236890791802488 	 3.1345208114898 	 9.58825163184116E-17 	 1.26990253263512E-17 	 8.31834909920604E-17 
 625.0298 	 0.196682487468788 	 3.35285635985158 	 6.19375227366248E-17 	 1.02205614776807E-17 	 5.17169612589442E-17 
 645.4761 	 0.163131883100406 	 3.55655645576189 	 4.17508551843842E-17 	 8.38406430733155E-18 	 3.33667908770526E-17 
 666.5912 	 0.138439405024436 	 3.76036019435275 	 2.9367364093036E-17 	 6.94963960832837E-18 	 2.24177244847076E-17 
 688.397 	 0.133590538027845 	 3.95722415539735 	 2.33045188810994E-17 	 5.81794473209381E-18 	 1.74865741490056E-17 
 710.9161 	 0.131236047734277 	 4.15726279688151 	 1.89378361599735E-17 	 4.90162908185992E-18 	 1.40362070781136E-17 
 734.1719 	 0.135747189605206 	 4.35530166218032 	 1.61742415927968E-17 	 4.15479484771772E-18 	 1.20194467450791E-17 
 758.1884 	 0.140642892661882 	 4.55939006267497 	 1.39092009643871E-17 	 3.53564899781271E-18 	 1.03735519665744E-17 
 782.9906 	 0.148263320045414 	 4.76552280593634 	 1.2205579512115E-17 	 3.02050031832926E-18 	 9.1850791937857E-18 
 808.6041 	 0.156133011177929 	 4.97839813957849 	 1.07507234600747E-17 	 2.58774735960615E-18 	 8.16297610046858E-18 
 835.0555 	 0.161955808954954 	 5.1964372341429 	 9.40816279875667E-18 	 2.2229700382423E-18 	 7.18519276051437E-18 
 862.3722 	 0.165808984544158 	 5.41992126903318 	 8.18770586580664E-18 	 1.9140705225862E-18 	 6.27363534322044E-18 
 890.5825 	 0.169788206523339 	 5.65071598965866 	 7.1508890900331E-18 	 1.65124545730711E-18 	 5.49964363272599E-18 
 919.7156 	 0.185010670020961 	 5.86924663992693 	 6.62189401814689E-18 	 1.42858730430311E-18 	 5.19330671384378E-18 
 949.8017 	 0.201354703887392 	 6.09381361254852 	 6.15046318130003E-18 	 1.23762743270101E-18 	 4.91283574859902E-18 
 980.8721 	 0.218233392149075 	 6.32572673483684 	 5.71313656629478E-18 	 1.07344742257134E-18 	 4.63968914372343E-18 
 1000 	 0.227662453966178 	 6.47259918716491 	 5.44060766093183E-18 	 9.85918753050927E-19 	 4.4546889078809E-18 
